dept_id,dept_code,dept_name,location,phone,is_active,created_at,updated_at
1,D001,내과,본관 2층,02-1234-5001,1,2024-01-01 09:00:00,2024-01-01 09:00:00
2,D002,외과,본관 3층,02-1234-5002,1,2024-01-01 09:00:00,2024-01-01 09:00:00
3,D003,정형외과,본관 3층,02-1234-5003,1,2024-01-01 09:00:00,2024-01-01 09:00:00
4,D004,소아과,본관 2층,02-1234-5004,1,2024-01-01 09:00:00,2024-01-01 09:00:00
5,D005,산부인과,본관 4층,02-1234-5005,1,2024-01-01 09:00:00,2024-01-01 09:00:00
6,D006,이비인후과,본관 2층,02-1234-5006,1,2024-01-01 09:00:00,2024-01-01 09:00:00
7,D007,안과,본관 2층,02-1234-5007,1,2024-01-01 09:00:00,2024-01-01 09:00:00
8,D008,피부과,본관 3층,02-1234-5008,1,2024-01-01 09:00:00,2024-01-01 09:00:00
9,D009,신경과,본관 4층,02-1234-5009,1,2024-01-01 09:00:00,2024-01-01 09:00:00
10,D010,정신과,본관 4층,02-1234-5010,1,2024-01-01 09:00:00,2024-01-01 09:00:00
11,D011,비뇨기과,본관 3층,02-1234-5011,1,2024-01-01 09:00:00,2024-01-01 09:00:00
12,D012,흉부외과,본관 3층,02-1234-5012,1,2024-01-01 09:00:00,2024-01-01 09:00:00
13,D013,심장내과,본관 5층,02-1234-5013,1,2024-01-01 09:00:00,2024-01-01 09:00:00
14,D014,호흡기내과,본관 2층,02-1234-5014,1,2024-01-01 09:00:00,2024-01-01 09:00:00
15,D015,소화기내과,본관 2층,02-1234-5015,1,2024-01-01 09:00:00,2024-01-01 09:00:00
